filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./packages/ember-runtime/tests/suites/enumerable/filter.js,146,13,7,js,2011-12-12,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/every.js,100,13,8,js,2011-12-12,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/uniq.js,28,6,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/invoke.js,34,6,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/sortBy.js,24,7,4,js,2013-09-19,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/any.js,106,10,7,js,2013-08-19,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/lastObject.js,21,7,5,js,2011-12-12,2014-08-13
./packages/ember-runtime/tests/suites/enumerable/firstObject.js,18,6,5,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/without.js,29,6,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/enumerable/map.js,76,13,8,js,2011-12-12,2014-12-30
./packages/ember-runtime/tests/suites/enumerable/reduce.js,25,7,6,js,2011-12-25,2014-12-30
./packages/ember-runtime/tests/suites/enumerable/reject.js,153,7,6,js,2012-12-04,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/mapBy.js,22,4,4,js,2013-08-19,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/find.js,113,14,7,js,2011-12-12,2015-01-01
./packages/ember-runtime/tests/suites/enumerable/forEach.js,74,11,7,js,2011-12-12,2014-12-30
./packages/ember-runtime/tests/suites/mutable_enumerable/addObject.js,73,12,6,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/mutable_enumerable/removeObjects.js,190,1,1,js,2014-05-20,2014-05-20
./packages/ember-runtime/tests/suites/mutable_enumerable/removeObject.js,74,10,5,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/copyable/copy.js,13,4,3,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/suites/copyable/frozenCopy.js,29,6,4,js,2011-12-12,2014-05-20
./packages/ember-runtime/tests/controllers/object_controller_test.js,70,4,2,js,2014-07-08,2015-02-02
./packages/ember-runtime/tests/controllers/controller_test.js,241,20,10,js,2013-08-28,2015-02-02
./packages/ember-runtime/tests/controllers/array_controller_test.js,38,12,8,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/controllers/item_controller_class_test.js,378,25,12,js,2013-01-02,2015-02-02
./packages/ember-runtime/tests/legacy_1x/mixins/observable/chained_test.js,56,7,4,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/mixins/observable/observersForKey_test.js,43,9,5,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/mixins/observable/propertyChanges_test.js,143,19,10,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/mixins/observable/observable_test.js,955,54,21,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/set_test.js,339,21,10,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/binding_test.js,325,34,13,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/object/concatenated_test.js,105,13,7,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/object/bindings_test.js,170,19,9,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/object/base_test.js,152,24,13,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/legacy_1x/system/run_loop_test.js,106,24,11,js,2011-12-12,2015-02-02
./packages/ember-runtime/tests/utils.js,16,1,1,js,2014-12-01,2014-12-01
./packages/ember-runtime/lib/compare.js,110,6,5,js,2014-05-20,2014-12-30
./packages/ember-runtime/lib/computed/reduce_computed_macros.js,840,44,24,js,2013-08-27,2015-01-01
./packages/ember-runtime/lib/computed/reduce_computed.js,856,59,18,js,2013-08-27,2015-01-26
./packages/ember-runtime/lib/computed/array_computed.js,191,16,10,js,2013-08-27,2015-01-26
./packages/ember-runtime/lib/mixins/freezable.js,95,17,10,js,2011-12-12,2014-12-24
./packages/ember-runtime/lib/mixins/array.js,523,71,30,js,2011-12-12,2014-11-01
./packages/ember-runtime/lib/mixins/promise_proxy.js,209,13,7,js,2013-08-01,2014-08-05
./packages/ember-runtime/lib/mixins/mutable_array.js,375,47,28,js,2011-12-12,2014-12-29
./packages/ember-runtime/lib/mixins/controller_content_model_alias_deprecation.js,52,5,5,js,2014-05-20,2014-11-04
./packages/ember-runtime/lib/mixins/action_handler.js,224,19,13,js,2013-08-28,2015-01-26
./packages/ember-runtime/lib/mixins/observable.js,511,51,29,js,2011-12-12,2014-12-24
./packages/ember-runtime/lib/mixins/mutable_enumerable.js,114,19,10,js,2011-12-12,2014-06-12
./packages/ember-runtime/lib/mixins/copyable.js,61,17,9,js,2011-12-12,2015-01-15
./packages/ember-runtime/lib/mixins/comparable.js,39,13,7,js,2011-12-12,2014-05-20
./packages/ember-runtime/lib/mixins/-proxy.js,106,4,3,js,2014-08-15,2014-12-27
./packages/ember-runtime/lib/mixins/enumerable.js,1176,95,43,js,2011-12-12,2015-01-04
./packages/ember-runtime/lib/mixins/evented.js,154,26,17,js,2012-02-22,2014-05-20
./packages/ember-runtime/lib/mixins/deferred.js,75,30,11,js,2012-08-15,2014-12-24
./packages/ember-runtime/lib/mixins/target_action_support.js,148,21,12,js,2011-12-12,2014-12-24
./packages/ember-runtime/lib/mixins/controller.js,61,5,4,js,2014-06-12,2015-01-26
./packages/ember-runtime/lib/mixins/sortable.js,303,41,23,js,2012-06-05,2015-01-26
./packages/ember-runtime/lib/inject.js,73,3,2,js,2014-07-14,2015-01-31
./packages/ember-runtime/lib/copy.js,91,7,6,js,2014-05-20,2014-11-24
./packages/ember-runtime/lib/core.js,34,48,18,js,2011-12-12,2015-01-26
./packages/ember-runtime/lib/system/namespace.js,224,24,13,js,2011-12-12,2015-01-26
./packages/ember-runtime/lib/system/each_proxy.js,244,32,15,js,2011-12-12,2015-01-26
./packages/ember-runtime/lib/system/string.js,313,40,19,js,2011-12-12,2014-08-20
./packages/ember-runtime/lib/system/object.js,24,17,9,js,2011-12-12,2014-11-27
./packages/ember-runtime/lib/system/core_object.js,920,150,45,js,2011-12-12,2015-01-31
./packages/ember-runtime/lib/system/array_proxy.js,388,48,24,js,2011-12-12,2015-01-26
./packages/ember-runtime/lib/system/service.js,43,1,1,js,2014-07-14,2014-07-14
./packages/ember-runtime/lib/system/container.js,8,8,5,js,2013-01-07,2014-12-17
./packages/ember-runtime/lib/system/application.js,3,8,6,js,2011-12-12,2014-05-20
